,MP,ORtg,%Ps,Pts,OR,DR,A,TO,Blk,Stl,PF,2Pt %,3Pt %,FT %,2Pt %Att,3Pt %Att,FT %Att,Pnts-Prev,Marg
Akron 13,17.702479338842977,85.45179063360881,15.779614325068875,6.360881542699724,0.9834710743801651,2.0716253443526167,1.3112947658402203,1.1680440771349863,0.5041322314049587,0.6308539944903582,1.537190082644628,0.3571058188826784,0.1712372644190826,0.319195894402506,0.08815426997245177,0.08815426997245178,0.0881542699724518,-0.06611570247933879,10.424242424242424
Albany 13,19.24285714285714,79.78571428571428,15.52,6.197142857142857,0.7599999999999999,2.0628571428571427,1.0771428571428572,1.2771428571428571,0.19428571428571426,0.52,1.5228571428571427,0.36988280766852194,0.1426902859045716,0.3696950113378685,0.09714285714285713,0.09714285714285716,0.09714285714285713,-1.1257142857142857,4.0
Arizona 13,19.98412698412698,90.52063492063492,16.149206349206352,7.301587301587302,0.9968253968253968,2.3365079365079366,1.3714285714285717,1.3047619047619046,0.3968253968253968,0.6952380952380951,1.6507936507936511,0.38991782467972946,0.20436885865457294,0.40252330561854377,0.10158730158730157,0.1015873015873016,0.10158730158730157,-0.4253968253968253,8.771428571428572
Belmont 13,18.833333333333336,85.80303030303031,14.560606060606062,7.293939393939395,0.7545454545454545,1.9939393939393941,1.5151515151515151,1.2212121212121212,0.24848484848484853,0.9454545454545455,1.6515151515151516,0.4176712503183091,0.23727928637019544,0.3179986974305157,0.09696969696969697,0.09696969696969697,0.09696969696969696,-0.05454545454545451,12.757575757575756
Boise St. 13,20.99652777777778,90.37847222222223,16.1875,7.774305555555555,0.875,2.3402777777777777,1.4166666666666667,1.2326388888888888,0.1701388888888889,0.7048611111111112,1.9722222222222223,0.37848894818870316,0.20893433341350007,0.3553686668270002,0.10763888888888887,0.1076388888888889,0.1076388888888889,-0.7152777777777778,8.03125
Bucknell 13,18.976470588235294,79.07058823529412,14.579411764705881,6.394117647058824,0.7529411764705882,2.420588235294118,1.2882352941176471,0.8676470588235293,0.3794117647058824,0.3411764705882353,1.3647058823529412,0.36524366519324175,0.1258858543417367,0.352945387945388,0.09705882352941177,0.09705882352941177,0.09705882352941178,-0.29411764705882354,9.5
Butler 13,18.59166666666667,81.88333333333334,14.905555555555555,6.4444444444444455,0.9333333333333333,2.2055555555555553,1.2277777777777776,1.2055555555555557,0.22222222222222224,0.5305555555555556,1.6472222222222226,0.34546871338538004,0.13495123703457038,0.3383909300575968,0.09444444444444446,0.09444444444444444,0.09444444444444446,-0.9055555555555556,5.166666666666666
California 13,20.34006734006734,76.5824915824916,14.707070707070708,6.915824915824916,0.9562289562289563,2.494949494949495,1.4646464646464645,1.2525252525252526,0.48821548821548816,0.5824915824915825,1.6094276094276094,0.34513628742684,0.11647256596751546,0.3174268399015874,0.1043771043771044,0.10437710437710437,0.10437710437710439,-0.3636363636363637,2.9696969696969693
Cincinnati 13,19.082352941176467,80.48235294117646,15.585294117647058,6.3617647058823525,1.1470588235294117,2.2323529411764707,1.1588235294117648,1.1735294117647057,0.5558823529411765,0.6588235294117648,1.6264705882352941,0.37327887126330034,0.1439426260014495,0.3493168024785672,0.09705882352941178,0.09705882352941178,0.09705882352941177,0.08235294117647071,7.647058823529411
Colorado 13,19.59090909090909,73.33333333333333,14.121212121212121,6.566666666666665,0.9636363636363636,2.3060606060606057,0.9636363636363635,1.2424242424242422,0.30303030303030304,0.6757575757575757,1.5303030303030305,0.3540410767683495,0.18444564694564694,0.3499912545367091,0.09696969696969697,0.09696969696969697,0.09696969696969696,-0.5272727272727271,4.242424242424242
Colorado St. 13,22.960714285714285,91.57857142857142,16.835714285714285,8.439285714285715,1.4821428571428572,2.882142857142857,1.5107142857142857,1.207142857142857,0.22500000000000003,0.5571428571428572,1.935714285714286,0.41737152232687946,0.1822448979591837,0.4564124863232007,0.11785714285714285,0.11785714285714288,0.11785714285714285,-0.85,9.657142857142857
Creighton 13,16.75,80.26515151515152,13.676767676767678,6.3813131313131315,0.6338383838383839,2.1136363636363638,1.4419191919191918,1.0126262626262625,0.2196969696969697,0.41414141414141403,1.348484848484848,0.3068904194851165,0.20385301426968094,0.3182505976066582,0.08585858585858587,0.08585858585858586,0.08585858585858586,-0.7575757575757577,11.611111111111112
Davidson 13,23.036764705882355,104.56250000000001,18.84191176470588,8.588235294117647,0.8897058823529411,2.6102941176470593,1.6580882352941175,1.2022058823529411,0.3345588235294118,0.6580882352941176,1.9485294117647058,0.42774901232946216,0.26575099736864444,0.4865967978100331,0.1213235294117647,0.12132352941176469,0.12132352941176469,-0.4191176470588235,11.205882352941176
Duke 13,22.865079365079364,92.86507936507938,16.09126984126984,9.162698412698413,0.8650793650793652,2.591269841269841,1.829365079365079,1.2380952380952384,0.39285714285714285,0.7460317460317459,1.9484126984126982,0.362503843158605,0.22115772234819855,0.40048100048100055,0.12698412698412698,0.126984126984127,0.12698412698412698,-0.19841269841269843,11.444444444444445
Florida 13,21.22972972972973,96.73310810810813,17.047297297297295,7.810810810810811,0.9932432432432433,2.4189189189189193,1.6047297297297296,1.1689189189189189,0.3513513513513513,0.7466216216216217,1.4864864864864864,0.41831454018954023,0.21024104461604465,0.3659500409500409,0.11148648648648647,0.1114864864864865,0.11148648648648646,-0.1418918918918919,16.0
Florida Gulf Coast 13,20.117117117117118,89.26726726726727,16.903903903903903,7.36036036036036,1.027027027027027,2.3063063063063063,1.4114114114114116,1.4414414414414418,0.37837837837837834,0.9039039039039041,1.7297297297297298,0.4135618302284969,0.1699121199121199,0.3998140998140999,0.10210210210210209,0.10210210210210209,0.1021021021021021,-0.3183183183183183,5.918918918918918
Georgetown 13,21.29861111111111,77.18402777777777,15.038194444444445,6.840277777777778,0.8229166666666666,2.295138888888889,1.5486111111111112,1.3020833333333333,0.4027777777777778,0.7916666666666666,1.7534722222222223,0.37028444163860835,0.17073963844797177,0.34430771774521773,0.1076388888888889,0.1076388888888889,0.10763888888888887,-0.2152777777777778,8.5625
Gonzaga 13,17.737142857142857,92.0457142857143,14.631428571428575,6.780000000000001,0.8371428571428572,2.1114285714285717,1.4114285714285715,0.9742857142857142,0.23714285714285716,0.7314285714285714,1.3685714285714288,0.3577668442668443,0.19326870748299319,0.3308861852433281,0.09428571428571428,0.09428571428571428,0.09428571428571428,-0.011428571428571413,17.171428571428574
Harvard 13,23.262499999999996,83.15,15.841666666666669,7.983333333333333,0.7,2.354166666666667,1.5125000000000002,1.4958333333333333,0.4916666666666667,0.8583333333333333,1.7166666666666663,0.35982480482480483,0.17625736531986533,0.44088677526177533,0.11666666666666664,0.11666666666666667,0.11666666666666667,-0.29166666666666663,4.733333333333333
Illinois 13,22.958333333333332,94.20138888888886,17.774305555555554,7.989583333333334,1.1631944444444444,2.2916666666666665,1.1805555555555556,1.3055555555555554,0.45833333333333337,0.8020833333333333,2.0625,0.4155156475468975,0.19968722442680775,0.41287603214686547,0.11805555555555555,0.11805555555555554,0.11805555555555554,-0.0902777777777778,3.5833333333333326
Indiana 13,19.49382716049383,92.40123456790121,15.85493827160494,7.975308641975308,1.0432098765432098,2.364197530864198,1.4506172839506173,1.240740740740741,0.34259259259259256,0.7314814814814814,1.583333333333333,0.38131820732332433,0.244646531452087,0.4303164942053831,0.10185185185185186,0.10185185185185185,0.10185185185185185,-0.3333333333333333,16.083333333333332
Iona 13,18.961764705882352,75.59411764705882,12.867647058823527,7.552941176470588,0.8941176470588236,2.0588235294117645,1.4558823529411764,1.0970588235294119,0.28529411764705875,0.6205882352941176,1.561764705882353,0.3083204173277702,0.17096330956625075,0.31722418104771044,0.09411764705882353,0.09411764705882356,0.09411764705882351,-0.3823529411764705,4.794117647058824
Iowa St. 13,20.619047619047617,90.89841269841268,16.09206349206349,8.212698412698412,1.1142857142857143,2.5492063492063495,1.6126984126984125,1.295238095238095,0.30476190476190473,0.6571428571428571,1.6952380952380952,0.39968695325838177,0.2229793398841018,0.3768429189857761,0.10476190476190475,0.10476190476190478,0.10476190476190476,-0.6666666666666666,7.942857142857144
James Madison 13,20.287037037037038,75.97222222222223,15.484567901234568,6.583333333333333,0.8364197530864198,2.1203703703703707,1.1820987654320987,1.1141975308641976,0.4444444444444444,0.7962962962962963,1.6759259259259258,0.35738745086511975,0.16341490299823633,0.36902557319223983,0.1049382716049383,0.10493827160493828,0.10493827160493827,0.25308641975308643,0.7777777777777778
Kansas 13,21.986486486486488,96.58108108108108,17.01689189189189,8.300675675675674,1.0810810810810811,2.868243243243243,1.739864864864865,1.4054054054054053,0.7533783783783783,0.7702702702702703,1.722972972972973,0.4653885622635623,0.1777885027885028,0.4625280312780313,0.11486486486486487,0.11486486486486486,0.11486486486486486,0.2364864864864865,12.783783783783788
Kansas St. 13,17.444155844155844,80.47272727272727,14.799999999999999,6.085714285714285,1.0727272727272728,1.8051948051948052,1.392207792207792,0.9766233766233767,0.3168831168831169,0.6181818181818183,1.5844155844155843,0.3448681837642877,0.14227834935627143,0.32237682951968666,0.0883116883116883,0.08831168831168831,0.0883116883116883,-0.08311688311688313,8.599999999999998
La Salle 13,21.477941176470587,84.86764705882352,15.797794117647058,7.838235294117646,0.9411764705882353,2.1286764705882355,1.5551470588235297,1.227941176470588,0.39338235294117646,0.8566176470588235,1.6360294117647056,0.35388935002905597,0.17789157329598507,0.3345618433853728,0.11029411764705882,0.11029411764705882,0.11029411764705882,0.04411764705882353,5.705882352941179
Liberty 13,19.82222222222222,81.21666666666667,16.025,7.255555555555557,0.9361111111111111,2.372222222222222,1.1722222222222223,1.2472222222222222,0.2694444444444445,0.5222222222222223,1.8027777777777778,0.3697630519444245,0.19006343193843195,0.38777896486229824,0.10544631079095079,0.10567836187686885,0.11169258448390203,-0.9111111111111111,-0.20833333333333326
LIU Brooklyn 13,16.54656862745098,70.07107843137254,12.257352941176471,6.426470588235294,0.8161764705882351,1.7647058823529411,1.2352941176470589,1.1348039215686276,0.28431372549019607,0.5514705882352942,1.4338235294117647,0.3338655661428153,0.19937887548181665,0.28624582403607174,0.08088235294117646,0.08088235294117646,0.08088235294117649,-0.5980392156862745,2.9705882352941173
Louisville 13,18.613888888888894,83.3,15.316666666666666,6.844444444444445,1.1333333333333335,2.111111111111111,1.4055555555555557,1.1472222222222224,0.38333333333333336,0.9944444444444446,1.5944444444444443,0.36084628983751793,0.13771359042192374,0.359124467353634,0.09444444444444446,0.09444444444444446,0.09444444444444446,0.46111111111111097,13.25
Marquette 13,16.18441558441559,76.67012987012986,14.303896103896106,5.5168831168831165,0.8025974025974025,1.7168831168831167,1.1454545454545453,1.0597402597402599,0.2727272727272727,0.5324675324675324,1.3376623376623376,0.3487955623020558,0.13812925170068027,0.318663320806178,0.08051948051948052,0.08051948051948053,0.08051948051948053,-0.509090909090909,5.542857142857144
Memphis 13,20.38888888888889,85.95679012345678,15.919753086419753,7.725308641975308,1.070987654320988,2.4413580246913584,1.7808641975308643,1.4166666666666667,0.6327160493827161,0.9197530864197532,1.7901234567901234,0.41149896057303464,0.17915017081683748,0.38661304402045144,0.10493827160493827,0.10493827160493827,0.10493827160493827,0.27160493827160476,10.111111111111109
Miami FL 13,20.009259259259256,75.46604938271604,14.154320987654323,7.030864197530864,0.8641975308641975,2.37962962962963,1.1296296296296298,1.0524691358024691,0.45370370370370366,0.6172839506172839,1.4598765432098766,0.36973211973211967,0.15949686458945717,0.35125171467764055,0.10185185185185185,0.10185185185185185,0.10185185185185186,0.03703703703703706,8.472222222222221
Michigan 13,19.384615384615383,82.91666666666667,13.971153846153847,7.512820512820513,0.8557692307692308,2.189102564102564,1.3782051282051282,0.9038461538461539,0.2916666666666667,0.5865384615384616,1.221153846153846,0.3736957060970219,0.1626564407814408,0.31655959780959786,0.10576923076923077,0.10576923076923075,0.10576923076923075,-0.05128205128205128,10.35897435897436
Michigan St. 13,16.613636363636363,65.26515151515152,12.636363636363637,5.684343434343433,0.8282828282828283,1.9974747474747476,1.1035353535353534,1.0909090909090908,0.3156565656565656,0.6717171717171717,1.3207070707070707,0.3291279604893686,0.12374238415905082,0.306716095352459,0.08333333333333331,0.08333333333333334,0.08333333333333331,-0.20707070707070702,8.222222222222223
Middle Tennessee 13,17.147058823529413,88.46791443850269,16.66042780748663,6.2032085561497325,0.9171122994652404,2.0000000000000004,1.219251336898396,1.144385026737968,0.32085561497326204,0.6122994652406416,1.7379679144385023,0.40086756677665764,0.15689033189033189,0.3696456544050127,0.08823529411764706,0.08823529411764706,0.08823529411764705,-0.42245989304812837,13.058823529411766
Minnesota 13,16.954545454545453,73.18716577540107,13.318181818181818,5.780748663101604,1.0588235294117647,1.9117647058823528,1.2433155080213902,1.1310160427807487,0.4893048128342245,0.6443850267379679,1.4625668449197862,0.3436102444792285,0.13456895154756118,0.3530601751189986,0.0855614973262032,0.0855614973262032,0.0855614973262032,0.005347593582887737,6.352941176470588
Mississippi 13,17.227272727272727,73.56565656565655,13.41161616161616,6.654040404040404,0.9343434343434344,2.0176767676767677,1.0732323232323233,0.9621212121212124,0.4368686868686868,0.7171717171717171,1.4419191919191918,0.3382865708678989,0.1275295586848617,0.31428425670849913,0.08585858585858584,0.08585858585858587,0.08585858585858586,0.38383838383838376,10.027777777777777
Missouri 13,19.388235294117646,80.65882352941176,14.729411764705882,7.364705882352941,1.1735294117647057,2.4676470588235295,1.3411764705882354,1.252941176470588,0.34117647058823525,0.65,1.5823529411764707,0.3550505797067215,0.17582792207792206,0.4012248617395676,0.09705882352941175,0.09705882352941174,0.09705882352941178,-0.5235294117647059,9.764705882352944
Montana 13,19.55625,85.809375,14.94375,6.84375,0.596875,2.1,1.25,1.121875,0.29375,0.565625,1.60625,0.3948482593795094,0.21878720238095237,0.37125911848568094,0.096875,0.096875,0.096875,-0.525,5.90625
