,MP,ORtg,%Ps,Pts,OR,DR,A,TO,Blk,Stl,PF,2Pt %,3Pt %,FT %,2Pt %Att,3Pt %Att,FT %Att,Pnts-Prev,Marg
Albany 2015,16.086587725999493,65.16942959001783,12.574295900178253,5.155054749172395,0.6406977336389101,1.9042373312961551,1.0053119429590018,1.0527374586198117,0.11783295136236313,0.5356353450471097,1.483300229182582,0.3081384675082154,0.15485940896101325,0.332173485188382,0.07636901632504964,0.08168591366759417,0.08340535536608074,-0.7985383244206774,4.284491978609625
Arizona 2015,14.397129186602871,64.62282980177717,11.494805194805195,4.958714969241285,0.8501708817498291,1.9874231032125764,1.0763499658236502,0.8189336978810663,0.2783321941216678,0.47682843472317155,1.3853041695146957,0.3132641815160612,0.12671831092883726,0.293788288115014,0.07232565087057238,0.0642969110785808,0.07123340130482401,-0.12754613807245382,13.458441558441557
Arkansas 2015,14.641025641025639,68.70085470085469,12.042735042735043,5.668803418803417,0.8333333333333333,1.5598290598290598,1.1730769230769231,0.8482905982905982,0.3461538461538461,0.5641025641025641,1.3760683760683758,0.3246036934338216,0.14046324046324046,0.29469797178130513,0.07264957264957264,0.07264957264957264,0.07264957264957264,0.12393162393162396,7.444444444444444
Baylor 2015,14.941880101322823,67.27033492822967,12.474669293554742,4.860681114551084,0.8875598086124401,1.4801576132845482,1.2507739938080495,1.015761328454827,0.2310723332395159,0.520264565156206,1.4769209119054323,0.31271292600978784,0.14392465120019302,0.29926176647257424,0.0740593672025795,0.0577266082223963,0.07127283823503197,-0.52884886011821,7.7037714607374035
Belmont 2015,12.646464646464645,58.055555555555564,8.88888888888889,4.33080808080808,0.47474747474747475,1.3661616161616161,0.6969696969696969,0.7247474747474748,0.15656565656565655,0.40151515151515155,1.1641414141414141,0.29158589726771544,0.19694547876366056,0.20696412173684905,0.05475600753025434,0.06865855456808324,0.055896797628796624,-0.3333333333333333,6.18939393939394
Boise St. 2015,15.866334033613445,63.59887079831933,11.921218487394956,5.714679621848741,0.5567226890756303,1.7481617647058825,0.9575892857142856,0.9262079831932775,0.1844800420168067,0.4912027310924369,1.477415966386555,0.30200308197288245,0.19303853825912648,0.2900049697909467,0.07793554136946872,0.08413959491036051,0.08288160517840627,-0.5010504201680671,9.410320378151258
Buffalo 2015,21.454545454545457,84.68013468013469,15.545454545454545,8.067340067340067,1.1683501683501685,2.585858585858586,1.4141414141414141,1.2053872053872052,0.43434343434343436,0.8215488215488215,1.9528619528619526,0.36400312244075966,0.1543358063560084,0.42346925894905696,0.10774410774410775,0.10774410774410775,0.10774410774410775,0.10101010101010101,6.5151515151515165
Butler 2015,15.2109477124183,66.4390522875817,12.497875816993464,4.6493464052287585,0.7665032679738563,1.812908496732026,1.012418300653595,0.9665032679738561,0.24591503267973858,0.4434640522875816,1.603921568627451,0.32223313043165985,0.10283036362693225,0.28850618698657915,0.07336224044138677,0.06383736306217454,0.07493767030412928,-0.5542483660130719,6.524509803921569
BYU 2015,15.271428571428572,67.16938775510205,9.991836734693878,5.740816326530613,0.8102040816326531,1.9122448979591835,0.9408163265306122,0.7795918367346939,0.2551020408163265,0.4714285714285714,1.6020408163265307,0.327215926979306,0.14517139889588868,0.2842513212411171,0.06331594497219031,0.07505103769930789,0.06417755818374908,-0.10612244897959182,8.56326530612245
Cincinnati 2015,14.427807486631018,65.22459893048128,12.192513368983958,4.510695187165775,0.8208556149732622,1.636363636363636,0.8663101604278073,0.8502673796791442,0.4438502673796791,0.5106951871657753,1.192513368983957,0.349087224421449,0.12273151684916392,0.3171870613047084,0.07452169743593406,0.05946124956133614,0.07131661092439077,0.2085561497326203,7.561497326203209
